buildingID,zip,,floorarea.SF,buildingtype.STR
cbe_06,94720,us,311786,office
,,,,
LocalDateTime,EnergyConsumption,,,
1/2/2007 14:15,169.38,,,
1/2/2007 14:30,169.56,,,
1/2/2007 14:45,171,,,
1/2/2007 15:00,169.92,,,
1/2/2007 15:15,167.58,,,
1/2/2007 15:30,165.78,,,
1/2/2007 15:45,164.16,,,
1/2/2007 16:00,161.46,,,
1/2/2007 16:15,155.52,,,
1/2/2007 16:30,149.94,,,
1/2/2007 16:45,144,,,
1/2/2007 17:00,139.86,,,
1/2/2007 17:15,134.82,,,
1/2/2007 17:30,131.76,,,
1/2/2007 17:45,129.6,,,
1/2/2007 18:00,121.68,,,
1/2/2007 18:15,94.68,,,
1/2/2007 18:30,94.5,,,
1/2/2007 18:45,96.48,,,
1/2/2007 19:00,96.3,,,
1/2/2007 19:15,91.98,,,
1/2/2007 19:30,92.34,,,
1/2/2007 19:45,94.5,,,
1/2/2007 20:00,92.16,,,
1/2/2007 20:15,90.54,,,
1/2/2007 20:30,90.9,,,
1/2/2007 20:45,86.94,,,
1/2/2007 21:00,81.9,,,
1/2/2007 21:15,79.02,,,
1/2/2007 21:30,79.02,,,
1/2/2007 21:45,79.74,,,
1/2/2007 22:00,81,,,
1/2/2007 22:15,79.74,,,
1/2/2007 22:30,81.54,,,
1/2/2007 22:45,79.92,,,
1/2/2007 23:00,80.46,,,
1/2/2007 23:15,80.46,,,
1/2/2007 23:30,81.36,,,
1/2/2007 23:45,83.52,,,
1/3/2007 0:00,86.58,,,
1/3/2007 0:15,74.16,,,
1/3/2007 0:30,69.84,,,
1/3/2007 0:45,65.16,,,
1/3/2007 1:00,65.52,,,
1/3/2007 1:15,65.88,,,
1/3/2007 1:30,65.52,,,
1/3/2007 1:45,63.54,,,
1/3/2007 2:00,61.02,,,
1/3/2007 2:15,61.2,,,
1/3/2007 2:30,61.02,,,
1/3/2007 2:45,62.64,,,
1/3/2007 3:00,61.74,,,
1/3/2007 3:15,66.78,,,
1/3/2007 3:30,65.34,,,
1/3/2007 3:45,66.06,,,
1/3/2007 4:00,65.7,,,
1/3/2007 4:15,64.8,,,
1/3/2007 4:30,67.68,,,
1/3/2007 4:45,67.32,,,
1/3/2007 5:00,69.12,,,
1/3/2007 5:15,70.2,,,
1/3/2007 5:30,68.94,,,
1/3/2007 5:45,71.1,,,
1/3/2007 6:00,90.72,,,
1/3/2007 6:15,114.12,,,
1/3/2007 6:30,113.94,,,
1/3/2007 6:45,119.16,,,
1/3/2007 7:00,125.28,,,
1/3/2007 7:15,129.24,,,
1/3/2007 7:30,134.28,,,
1/3/2007 7:45,136.62,,,
1/3/2007 8:00,140.94,,,
1/3/2007 8:15,150.12,,,
1/3/2007 8:30,157.68,,,
1/3/2007 8:45,159.12,,,
1/3/2007 9:00,161.46,,,
1/3/2007 9:15,164.88,,,
1/3/2007 9:30,166.68,,,
1/3/2007 9:45,170.1,,,
1/3/2007 10:00,170.46,,,
1/3/2007 10:15,171.72,,,
1/3/2007 10:30,171.9,,,
1/3/2007 10:45,174.42,,,
1/3/2007 11:00,175.32,,,
1/3/2007 11:15,175.14,,,
1/3/2007 11:30,178.2,,,
1/3/2007 11:45,180.36,,,
1/3/2007 12:00,179.82,,,
1/3/2007 12:15,174.24,,,
1/3/2007 12:30,167.22,,,
1/3/2007 12:45,158.58,,,
1/3/2007 13:00,159.66,,,
1/3/2007 13:15,160.920025,,,
1/3/2007 13:30,160.56,,,
1/3/2007 13:45,162.18,,,
1/3/2007 14:00,161.28,,,
1/3/2007 14:15,162.9,,,
1/3/2007 14:30,162.18,,,
1/3/2007 14:45,162.9,,,
1/3/2007 15:00,164.88,,,
1/3/2007 15:15,165.78,,,
1/3/2007 15:30,160.92,,,
1/3/2007 15:45,160.02,,,
1/3/2007 16:00,158.94,,,
1/3/2007 16:15,154.439975,,,
1/3/2007 16:30,150.84,,,
1/3/2007 16:45,144.18,,,
1/3/2007 17:00,139.5,,,
1/3/2007 17:15,133.2,,,
1/3/2007 17:30,132.66,,,
1/3/2007 17:45,128.52,,,
1/3/2007 18:00,125.46,,,
1/3/2007 18:15,128.7,,,
1/3/2007 18:30,124.38,,,
1/3/2007 18:45,122.94,,,
1/3/2007 19:00,117,,,
1/3/2007 19:15,108.9,,,
1/3/2007 19:30,105.48,,,
1/3/2007 19:45,108,,,
1/3/2007 20:00,110.7,,,
1/3/2007 20:15,102.6,,,
1/3/2007 20:30,100.98,,,
1/3/2007 20:45,96.3,,,
1/3/2007 21:00,98.64,,,
1/3/2007 21:15,97.2,,,
1/3/2007 21:30,94.5,,,
1/3/2007 21:45,96.12,,,
1/3/2007 22:00,94.68,,,
1/3/2007 22:15,96.48,,,
1/3/2007 22:30,96.3,,,
1/3/2007 22:45,91.26,,,
1/3/2007 23:00,87.3,,,
1/3/2007 23:15,86.76,,,
1/3/2007 23:30,88.92,,,
1/3/2007 23:45,88.56,,,
1/4/2007 0:00,82.8,,,
1/4/2007 0:15,71.64,,,
1/4/2007 0:30,70.56,,,
1/4/2007 0:45,70.38,,,
1/4/2007 1:00,65.34,,,
1/4/2007 1:15,64.98,,,
1/4/2007 1:30,64.08,,,
1/4/2007 1:45,64.8,,,
1/4/2007 2:00,63,,,
1/4/2007 2:15,64.08,,,
1/4/2007 2:30,63.36,,,
1/4/2007 2:45,63.18,,,
1/4/2007 3:00,64.62,,,
1/4/2007 3:15,70.02,,,
1/4/2007 3:30,70.38,,,
1/4/2007 3:45,68.76,,,
1/4/2007 4:00,68.94,,,
1/4/2007 4:15,66.96,,,
1/4/2007 4:30,65.7,,,
1/4/2007 4:45,66.42,,,
1/4/2007 5:00,69.12,,,
1/4/2007 5:15,70.74,,,
1/4/2007 5:30,66.78,,,
1/4/2007 5:45,70.92,,,
1/4/2007 6:00,90.72,,,
1/4/2007 6:15,114.66,,,
1/4/2007 6:30,120.78,,,
1/4/2007 6:45,126.54,,,
1/4/2007 7:00,131.94,,,
1/4/2007 7:15,136.98,,,
1/4/2007 7:30,142.38,,,
1/4/2007 7:45,146.7,,,
1/4/2007 8:00,153.36,,,
1/4/2007 8:15,160.92,,,
1/4/2007 8:30,168.66,,,
1/4/2007 8:45,173.7,,,
1/4/2007 9:00,177.12,,,
1/4/2007 9:15,140.4,,,
